ID,OBJECTID_1,Label,Row,PointLabel,x,y,RowNUM,one,Plbsac,type,LBC.1,LBCeq,pH.2,Ca,K,Mg,Mn,P,Zn,geometry
240431,16,16,B,16B,-83.73142742,32.43711194,0,1,42,CID,206,568,6.23,497,64.1,58.8,21.85,13.68,1.35,"c(243191.9511, 3592172.7713, 0)"
240432,17,17,B,17B,-83.73047068,32.43710863,0,1,34,SPID,212,590,6.29,424,49.9,61.9,19.42,16.94,1.58,"c(243281.9238, 3592170.1021, 0)"
240433,17,17,B,17B,-83.73047068,32.43710863,0,1,34,CID,215,601,6.06,555,75.9,87.7,14.41,25.79,1.81,"c(243281.9238, 3592170.1021, 0)"
240434,18,18,B,18B,-83.72951393,32.43710532,0,1,59,SPID,233,667,6.27,645,69.4,86.1,28.02,29.62,2.33,"c(243371.8965, 3592167.4328, 0)"
240435,18,18,B,18B,-83.72951393,32.43710532,0,1,59,CID,167,425,6.15,542,64.2,84.6,24.63,29.3,2.34,"c(243371.8965, 3592167.4328, 0)"
240436,19,19,B,19B,-83.72855719,32.43710199,0,1,53,SPID,143,337,5.45,471,50.6,73.9,22.92,26.72,2.1,"c(243461.8691, 3592164.7636, 0)"
240437,19,19,B,19B,-83.72855719,32.43710199,0,1,53,CID,167,425,5.71,309,29,48.9,11.71,17.51,1.68,"c(243461.8691, 3592164.7636, 0)"
240438,20,20,B,20B,-83.72760044,32.43709866,0,1,42,SPID,128,282,6.88,283,45.7,40.3,22.92,20.92,1.7,"c(243551.8416, 3592162.0943, 0)"
240439,20,20,B,20B,-83.72760044,32.43709866,0,1,42,CID,211,586,6.51,325,29.8,48.6,11.13,22.57,1.3,"c(243551.8416, 3592162.0943, 0)"
240440,21,21,B,21B,-83.7266437,32.43709532,0,1,51,SPID,136,311,6.6,369,28.6,58.7,11.5,25.44,2.52,"c(243641.8141, 3592159.4251, 0)"
240441,21,21,B,21B,-83.7266437,32.43709532,0,1,51,CID,154,377,6.41,377,43.6,47.4,7.7,23.25,2.16,"c(243641.8141, 3592159.4251, 0)"
240442,22,22,C,22C,-83.73621501,32.43631703,0,1,18,SPID,184,487,5.9,488,104.8,91.4,38.55,8.86,1.32,"c(242739.4174, 3592096.1446, 0)"
240443,22,22,C,22C,-83.73621501,32.43631703,0,1,18,CID,171,439,5.64,299,114.6,48.2,32.24,18.01,1.13,"c(242739.4174, 3592096.1446, 0)"
240444,23,23,C,23C,-83.73525827,32.43631376,0,1,18,SPID,205,564,5.96,724,101.2,69.5,30.3,9.12,5.04,"c(242829.3904, 3592093.4754, 0)"
240445,23,23,C,23C,-83.73525827,32.43631376,0,1,18,CID,221,623,5.35,497,98.3,59.8,17.04,6.5,4.08,"c(242829.3904, 3592093.4754, 0)"
240446,24,24,C,24C,-83.734311,32.436519,0,1,6,SPID,149,359,5.33,228,78.7,56.1,12.85,3.1,0.64,"c(242919.3634, 3592090.8062, 0)"
240447,24,24,C,24C,-83.734311,32.436519,0,1,6,CID,164,414,5.5,373,89.7,101.3,16.63,3.12,0.82,"c(242919.3634, 3592090.8062, 0)"
240448,25,25,C,25C,-83.7333448,32.43630719,0,1,17,SPID,166,421,6.47,424,52,75.4,23.02,8.34,0.92,"c(243009.3363, 3592088.137, 0)"
240449,25,25,C,25C,-83.7333448,32.43630719,0,1,17,CID,156,384,6.11,296,20.9,40.3,11.54,5.78,1.1,"c(243009.3363, 3592088.137, 0)"
240450,26,26,C,26C,-83.73238806,32.43630389,0,1,28,SPID,186,495,6.18,360,19.8,48.8,15.78,13.96,1.14,"c(243099.3091, 3592085.4678, 0)"
240451,26,26,C,26C,-83.73238806,32.43630389,0,1,28,CID,153,373,5.9,370,32.4,55.7,16.4,16.18,1.33,"c(243099.3091, 3592085.4678, 0)"
240452,27,27,C,27C,-83.73143132,32.43630059,0,1,21,SPID,172,443,6.26,384,21.6,43.4,14.23,10.28,1.36,"c(243189.2819, 3592082.7986, 0)"
240453,27,27,C,27C,-83.73143132,32.43630059,0,1,21,CID,151,366,6.15,331,24.7,36.1,8.13,9.65,1.02,"c(243189.2819, 3592082.7986, 0)"
240454,28,28,C,28C,-83.73047458,32.43629728,0,1,39,SPID,165,417,6.51,593,75.7,73.8,21.03,19.58,1.88,"c(243279.2546, 3592080.1294, 0)"
240455,28,28,C,28C,-83.73047458,32.43629728,0,1,39,CID,177,461,6.29,441,46.4,61.8,19.47,11.71,1.94,"c(243279.2546, 3592080.1294, 0)"
240456,29,29,C,29C,-83.72951785,32.43629396,0,1,59,SPID,199,542,6.14,686,46.9,68.4,16.45,29.4,4.28,"c(243369.2272, 3592077.4602, 0)"
240457,29,29,C,29C,-83.72951785,32.43629396,0,1,59,CID,165,417,6.19,373,33,41.2,8.28,16.63,1.41,"c(243369.2272, 3592077.4602, 0)"
240458,30,30,C,30C,-83.72856111,32.43629064,0,1,60,SPID,150,362,5.59,273,24.2,21.9,13.06,29.85,3.18,"c(243459.1998, 3592074.791, 0)"
240459,30,30,C,30C,-83.72856111,32.43629064,0,1,60,CID,165,417,6.26,413,31.6,43.1,16.65,27.66,1.5,"c(243459.1998, 3592074.791, 0)"
240460,31,31,C,31C,-83.72760437,32.43628731,0,1,59,SPID,121,256,6.56,467,53.1,63.9,14.01,29.41,2.97,"c(243549.1724, 3592072.1218, 0)"
240461,31,31,C,31C,-83.72760437,32.43628731,0,1,59,CID,153,373,6.63,473,32.9,45.3,9.23,24.85,1.76,"c(243549.1724, 3592072.1218, 0)"
240462,32,32,C,32C,-83.72664764,32.43628397,0,1,77,SPID,204,561,6,549,30.4,99.8,15.33,38.52,2.08,"c(243639.1449, 3592069.4526, 0)"
240463,32,32,C,32C,-83.72664764,32.43628397,0,1,77,CID,240,693,6.1,583,45.9,50.2,16.64,41.51,2.33,"c(243639.1449, 3592069.4526, 0)"
240464,33,33,C,33C,-83.7256909,32.43628063,0,1,69,SPID,215,601,6.95,622,39.4,73.4,13.09,34.47,4.9,"c(243729.1173, 3592066.7834, 0)"
240465,33,33,C,33C,-83.7256909,32.43628063,0,1,69,CID,153,373,6.81,458,45.2,49.2,8.3,29.2,1.76,"c(243729.1173, 3592066.7834, 0)"
240466,34,34,D,34D,-83.73616,32.435572,0,1,19,SPID,206,568,6.35,681,34,29.4,29.22,9.42,2.17,"c(242736.7482, 3592006.1716, 0)"
240467,34,34,D,34D,-83.73616,32.435572,0,1,19,CID,230,656,6.18,751,54,45.5,32.39,11.26,3.37,"c(242736.7482, 3592006.1716, 0)"
240468,35,35,D,35D,-83.73526214,32.4355024,0,1,24,SPID,701,2033,4.79,596,101.6,104.6,46.82,11.77,5.48,"c(242826.7212, 3592003.5024, 0)"
240469,35,35,D,35D,-83.73526214,32.4355024,0,1,24,CID,259,751,5.52,399,78.1,51.4,16.71,8.75,2.06,"c(242826.7212, 3592003.5024, 0)"
240470,36,36,D,36D,-83.73430541,32.43549912,0,1,5,SPID,162,406,5.17,120,29.6,41.5,8.73,2.49,0.24,"c(242916.6942, 3592000.8333, 0)"
240471,36,36,D,36D,-83.73430541,32.43549912,0,1,5,CID,225,638,5.12,177,41.1,58.4,14.25,3.1,0.47,"c(242916.6942, 3592000.8333, 0)"
