Point,Sample ID Lab,Horizon,Observational Method,Potential Series (in progress),To Depth (cm),H Depth(cm),Boundary (Bnd),Matrix Color,Clay,Sand,Silt,"Lab Texture (LPSA, preliminary)",Txt Rep?,Field Texture,Field Clay %,Structure,Consistence,Notes,Date Sampled,Depth to water table (if known),Taxonomy,Charcoal Present?,Depletions,Concentrations,htm,intermingle body,plinthitic,Buried,AB,AE,BA,BC,BE,textureimp?
22,250384,Ap,Probe,,0-22,22,,10YR3/3,4.725,87.35,7.925,LS,,,,1MGr,,,4/16/2025,,,,,,,,,,,,,,,1
22,250385,BA,Probe,,22-41,19,,7.5YR4/4,21.2,65.95,12.85,SCL,,,,2CoSBK,,"org stains, charcoal",4/16/2025,,,Yes,,,,,,,,,Yes,,,1
22,250386,Bt1,Probe,,41-88,47,,5YR4/6,31,56.7,12.3,SCL,,,,2CoSBK,,org stains,4/16/2025,,,,,,,,,,,,,,,1
22,250387,Bt2,Probe/Auger,,88-125,37,,5YR4/8,47.75,44.15,8.1,C,,,,2CoSBK,,VF roots,4/16/2025,,,,,,,,,,,,,,,1
22,250388,Bt3,Auger,,125-150+,25,,7.5YR5/8,48.9,43.86667,7.233333,C,,,,2CoSBK,,,4/16/2025,,,,,,,,,,,,,,,1
24,250389,Ap,Probe,Stilson?,0-35,35,C,10YR3/2,3.85,89.75,6.4,S,,,,1MGr,,many VF roots,4/17/2025,,,,,,,,,,,,,,,1
24,250390,AB,Probe,Stilson?,35-60,25,Gr,10YR3/1,8.665,75.25,16.085,SL,,,,2MSBK,,few VF roots,4/17/2025,,,,,,,,,,Yes,,,,,1
24,250391,Bt1,Probe,Stilson?,60-87,27,C,10YR5/6,12,76.4,11.6,SL,,,,1MSBK,,few VF roots,4/17/2025,,,,,,,,,,,,,,,1
24,250392,Bt2,Probe,Stilson?,87-101,14,C,10YR5/8,45.5,44.25,10.25,C,,,,1MSBK,,few VF roots,4/17/2025,,,,,,,,,,,,,,,1
24,250393,Bt3,Probe,Stilson?,101-136,35,A,10YR4/6,44.6,42.65,12.75,C,,,,1MSBK,,"Mn, many, large, 10YR2/1. many VF roots, ",4/17/2025,,,,,Yes,,,,,,,,,,1
24,250394,Bt4,Probe/Auger,Stilson?,136-150+,14,,10YR5/8,45.533333,43,11.4666667,C,Yes,,,1MSBK,,"few Mn, many soft iron conc. 7.5YR4/6.",4/17/2025,,,,,,,,,,,,,,,1
25,250395,Ap1,Probe,,0-24,24,C,7.5YR4/3,5,85.8,9.2,LS,,,,1MGr,,F roots,4/17/2025,,,,,,,,,,,,,,,1
25,250396,Ap2,Probe,,24-45,21,A,7.5YR4/4,6.265,84.25,9.485,LS,,,,1MGr,,VF roots common,4/17/2025,,,,,,,,,,,,,,,1
25,250397,Ab,Probe,,45-90,45,A,7.5YR3/2,21.5,63.25,15.25,SCL,,,,2MSBK,,moisture present. 5YR4/6 concentrations. VF roots,4/17/2025,,,,,Yes,,,,Yes,,,,,,1
25,250398,Eb1,Probe,,90-117,27,Gr,10YR4/4,8.07,80.35,11.58,LS,,,,1MSBK,,,4/17/2025,,,,,,,,,Yes,,,,,,1
25,250399,Eb2,Probe,,117-163,46,C,10YR5/6,8.58,80.05,11.37,LS,,,,1MSBK,,few 10YR5/8  concentrations,4/17/2025,,,,,Yes,,,,Yes,,,,,,1
25,250400,Eb3,Auger,,163-183,20,C,2.5Y6/4,7.09,82.7,10.21,LS,,,,1MSBK,,"2.5Y7/2 depletions, 5%",4/17/2025,170,,,Yes,,,,,Yes,,,,,,1
25,250401,Btb,Auger,,183-200+,17,,10YR6/6,7.315,83.45,9.235,LS,,,,1MSBK,,"2.5Y7/2 depletions, 3%. 10YR5/6 concentrations, 10%.",4/17/2025,,,,Yes,Yes,,,,Yes,,,,,,1
31,250402,Ap1,Probe,,0-18,18,,10YR4/4,6.15,83.2,10.65,LS,,,,1MGr,,,4/16/2025,,,,,,,,,,,,,,,0
31,250403,Ap2,Probe,Greenville,18-32,14,,7.5YR4/4,26.75,60.15,13.1,SCL,,,,1MGr,,VF root,4/16/2025,,,,,,,,,,,,,,,0
31,250404,Bt1,Probe,Greenville,32-76,44,,2.5YR4/8,42.85,45.7,11.45,SC,,,,2CoSBK,,VF root,4/16/2025,,,,,,,,,,,,,,,0
