Point,Sample ID Lab,Horizon,Observational Method,Potential Series (in progress),To Depth (cm),H Depth(cm),Boundary (Bnd),Matrix Color,Clay,Sand,Silt,"Lab Texture (LPSA, preliminary)",Txt Rep?,Field Texture,Field Clay %,Structure,Consistence,Notes,Date Sampled,Depth to water table (if known),Taxonomy,Charcoal Present?,Depletions,Concentrations,htm,intermingle body,plinthitic,Buried,AB,AE,BA,BC,BE,textureimp?
37,250490,Bt1,Probe,,17-46,29,Gr,2.5YR4/6,49.1,40.8,10.1,C,,,,2CoSBK,,very fine roots,4/30/2025,,,,,,,,,,,,,,,0
37,250491,Bt2,Probe,,46-90,44,D,10R4/6,74.7,20,5.3,C,,,,2CoSBK,,very fine roots,4/30/2025,,,,,,,,,,,,,,,0
37,250492,Bt3,Probe/Auger,,90-150+,60,,10R4/6,100,0,0,C,,,,2MSBK,,,4/30/2025,,,,,,,,,,,,,,,0
47,250493,Ap,Probe,,0-22,22,C,10YR4/3,7.34,80.7,11.96,LS,,,,1MGr,,vf roots many,4/30/2025,,,,,,,,,,,,,,,0
47,250494,BA,Probe,,22-42,20,C,5YR4/4,36.2,51.3,12.5,SC,,,,1MSBK,,vf roots many,4/30/2025,,,,,,,,,,,,Yes,,,0
47,250495,Bt1,Probe,,42-62,20,Gr,2.5YR4/6,48.5,41.1,10.4,C,,,,1MSBK,,vf roots many,4/30/2025,,,,,,,,,,,,,,,0
47,250496,Bt2,Probe,,62-98,36,Gr,2.5YR3/6,94.3,4.9,0.8,C,,,,2MSBK,,vf roots many,4/30/2025,,,,,,,,,,,,,,,0
47,250497,Bt3,Probe/Auger,,98-150+,52,,2.5YR3/6,100,0,0,C,,,,2CoSBK,,vf roots many,4/30/2025,,,,,,,,,,,,,,,0
26,250498,Ap,Probe,,0-20,20,C,10YR3/4,5.33,86.3,8.37,LS,,,,1MGr,,few VF roots,4/30/2025,,,,,,,,,,,,,,,1
26,250499,BA,Probe,,20-42,22,C,7.5YR4/4,16.7,71,12.3,SL,,,,2CoSBK,,"dark organic stains, charcoal few VF roots",4/30/2025,,,Yes,,,,,,,,,Yes,,,1
26,250500,Bt1,Probe,,42-73,31,Gr,5YR4/6,19.2,68.8,12,SL,,,,2CoSBK,,"organic stains, stripped root channels few VF roots",4/30/2025,,,,,,,,,,,,,,,1
26,250501,Bt2,Probe,,73-101,28,Gr,5YR5/8,23.4,64.7,11.9,SCL,,,,1MSBK,,few VF roots,4/30/2025,,,,,,,,,,,,,,,1
26,250502,Bt3,Probe/Auger,,101-150+,49,,5YR5/8,30.7,60.8,8.5,SCL,,,,1MSBK,,few VF roots,4/30/2025,,,,,,,,,,,,,,,1
19,250503,Ap,Probe,,0-18,18,A,10YR3/4,7.35,85.2,7.45,LS,,,,1MGr,,VF roots,4/30/2025,,,,,,,,,,,,,,,1
19,250504,BA,Probe,,18-33,15,C,5YR3/4,47,45,8,SC,,,,2MSBK,,VF roots,4/30/2025,,,,,,,,,,,,Yes,,,1
19,250505,Bt1,Probe,,33-60,27,Gr,2.5YR4/6,43.8,48.3,7.9,SC,,,,2MSBK,,"common organic stains, VF roots",4/30/2025,,,,,,,,,,,,,,,1
19,250506,Bt2,Probe,,60-98,38,Gr,2.5YR4/8,40.9,50.9,8.2,SC,,SL,,1MSBK,,"faint org stains, VF roots",4/30/2025,,,,,,,,,,,,,,,1
19,250507,Bt3,Probe/Auger,,98-150+,52,,2.5YR4/8,46,47.7,6.3,SC,,SL,,1MSBK,,,4/30/2025,,,,,,,,,,,,,,,1
27,250508,Ap,Probe,,0-30,30,C,5YR4/6,8.86,81.8,9.34,LS,,,,1MGr,,"mixed, vf roots, 40% 2.5YR4/6",4/30/2025,,,,,,,,,,,,,,,1
27,250509,BA,Probe,,30-52,22,Gr,2.5YR4/6,77.5,19.2,3.3,C,,,,2CoSBK,,VF roots,4/30/2025,,,,,,,,,,,,Yes,,,1
27,250510,Bt1,Probe,,52-77,25,Gr,2.5YR4/6,59.35,32.975,7.675,C,Yes,,,2MSBK,,VF roots,4/30/2025,,,,,,,,,,,,,,,1
27,250511,Bt2,Probe/Auger,,77-150+,73,,2.5YR3/6,100,0,0,C,,,,2CoSBK,,VF roots common,4/30/2025,,,,,,,,,,,,,,,1
9,250512,Ap,Probe,,0-29,29,A,10YR4/3,5.33,85.3,9.37,LS,,,,1MGr,,"VFroots, common",4/30/2025,,,,,,,,,,,,,,,1
9,250513,BA,Probe,,29-49,20,C,5YR4/4,24.55,61.85,13.6,SCL,Yes,,,2MSBK,,"organic stains, charcoal, VFroots, common",4/30/2025,,,Yes,,,,,,,,,Yes,,,1
9,250514,Bt1,Probe,,49-79,30,C,7.5YR4/6,24.2,62.6,13.2,SCL,,,,1MSBK,,"org stains, uncoated grains, VFroots, common",4/30/2025,,,,,,,,,,,,,,,1
9,250515,Bt2,Probe,,79-113,34,C,5YR4/6,35.1,55.4,9.5,SC,,,,2MSBK,,"common org stains, uncoated grains, VFroots, common",4/30/2025,,,,,,,,,,,,,,,1
9,250516,Bt3,Auger,,113-150+,37,,5YR5/8,21,69.9,9.1,SCL,,,,1MSBK,,"few charcoal, uncoated grains, VFroots, common",4/30/2025,,,Yes,,,,,,,,,,,,1
18,250517,Ap,Probe,Orangeburg,0-25,25,VA,10YR4/3,4.69,87.4,7.91,S,,,,1MGr,,VF roots,4/30/2025,,,,,,,,,,,,,,,1
18,250518,BA,Probe,Orangeburg,25-38,13,C,5YR4/4,34.4,53.2,12.4,SCL,,,,2MSBK,,"organic stains, uncoated sand grains, VF roots",4/30/2025,,,,,,,,,,,,Yes,,,1
18,250519,Bt1,Probe,Orangeburg,38-77,39,Gr,5YR4/6,27.6,59.9,12.5,SCL,,,,2CoSBK,,VF roots,4/30/2025,,,,,,,,,,,,,,,1
18,250520,Bt2,Probe,Orangeburg,77-119,42,Gr,2.5YR4/6,66.5,28.5,5,C,,,,2CoSBK,,"charcoal, few, VF roots",4/30/2025,,,Yes,,,,,,,,,,,,1
18,250521,Bt3,Probe/Auger,Orangeburg,119-150+,31,,2.5YR4/8,61.2,33.4,5.4,C,,,,2MSBK,,"charcoal, few, VF roots, few yellow concentrations",4/30/2025,,,Yes,,Yes,,,,,,,,,,1
28,250522,Ap1,Probe,,0-15,15,C,7.5YR4/4,6.18,85,8.82,LS,,,,1MGr,,VF roots common,4/30/2025,,,,,,,,,,,,,,,1
28,250523,Ap2,Probe,,15-28,13,A,5YR4/4,17.9,71.9,10.2,SL,,,,1MSBK,,VF roots common,4/30/2025,,,,,,,,,,,,,,,1
28,250524,Bt1,Probe,,28-52,24,Gr,2.5YR4/6,46.5,43.8,9.7,C,,,,2MSBK,,VF roots common,4/30/2025,,,,,,,,,,,,,,,1
28,250525,Bt2,Probe/Auger,,52-123,71,Gr,2.5YR3/6,91.2,6.94,1.86,C,,,,2CoSBK,,"charcoal, few VF roots common",4/30/2025,,,Yes,,,,,,,,,,,,1
28,250526,Bt3,Auger,,123-150+,27,,2.5YR3/6,94.5,4.54,0.96,C,,,,2CoSBK,,VF roots common,4/30/2025,,,,,,,,,,,,,,,1
44,240356,Btv1,Auger,Bonneau,94-128,34,,2.5Y5/6,7.14,83.05,9.81,LS,,,,2MSBK,,7.5YR5/8 plinthite at 4-5%. 2.5Y6/2 depletions at 4-5%,5/29/2024,,,,Yes,,,,,,,,,,,0
44,240357,Btv2,Auger,Bonneau,128-158+,30,,10YR6/2,9.14,82.4,8.46,LS,,,,2MSBK,,7.5YR5/8 plinthite at 20%. mottled depletions 10YR 6/2 at 45% and 7.5YR6/8 at 35%,5/29/2024,,,,Yes,Yes,,,Yes,,,,,,,0
81,,Bt1,Auger,,0-15,15,C,5YR4/6,,,,,,SCL,,,,no sample,4/16/2025,,,,,,,,,,,,,,,0
81,,Bt2,Auger,,15-45,30,Gr,2.5YR4/8,,,,,,SCL,,,,no sample. Charcoal present,4/16/2025,,,Yes,,,,,,,,,,,,0
81,,Bt3,Auger,,45-90+,45,,2.5YR4/8,,,,,,,,,,no sample,4/16/2025,,,,,,,,,,,,,,,0
